date,title,url
02 Oct 2002,Federal Plaza Address Opposing the War in Iraq,speeches/barackobama/barackobamairaqwarspeechfederalplaza.htm
27 Jul 2004,Democratic National Convention Keynote Speech,
06 Jan 2005,Senate Speech on Ohio Electoral Vote,speeches/barackobama/barackobamasenatespeechonohioelectoralvotes.htm
04 Jun 2005,Knox College Commencement Speech,
25 Oct 2005,Senate Speech Honoring the Life of Rosa Parks,speeches/barackobama/barackobamasenatespeechrosaparks.htm
15 Dec 2005,Senate Speech on the PATRIOT Act,speeches/barackobama/barackobamasenatefloorspeechpatriotact.htm
31 Jan 2006,Senate Speech Honoring the Life of Coretta Scott King,speeches/barackobama/barackobamasenatespeechoncorettascottkingpassing.htm
20 Jul 2006,Senate Speech on Voting Rights Act Renewal,speeches/barackobama/barackobamasenatespeechonvotingrightsactrenewal.htm
16 Jan 2007,Presidential Exploratory Committee Announcement,
10 Feb 2007,Presidential Candidacy Announcement,
04 Mar 2007,Brown Chapel Speech,speeches/barackobama/barackobamabrownchapel.htm
13 Mar 2007,Senate Speech on Iraq Federalism Amendment,speeches/barackobama/barackobamasenatespeechiraqfederalismamendment.htm
21 Mar 2007,Senate Speech on Iraq War After 4 Years,speeches/barackobama/barackobamasenatefloorspeechoniraqwar4years.htm
23 May 2007,Senate Speech on Comprehensive Immigration Reform,speeches/barackobama/barackobamasenatefloorimmigration.htm
01 Aug 2007,Woodrow Wilson Center Speech,
10 Nov 2007,Speech at the Jefferson-Jackson Dinner,speeches/barackobama/barackobamajeffersonjacksondinner.htm
03 Jan 2008,Iowa Caucus Victory Speech,speeches/barackobama/barackobamaiowavictoryspeech.htm
08 Jan 2008,New Hampshire Primary Concession Speech,speeches/barackobama/barackobamanewhampshireconcessionspeech.htm
20 Jan 2008,Ebenezer Baptist Church Speech,speeches/barackobama/barackobamaebenezerbaptist.htm
26 Jan 2008,South Carolina Primary Victory Speech,speeches/barackobama/barackobamasouthcarolinavictory.htm
18 Mar 2008,A More Perfect Union Speech,
03 Jun 2008,Democratic Nomination Victory Speech,
15 Jul 2008,Policy Speech on Iraq at the Woodrow Wilson Center,speeches/barackobama/barackobamairaqwarreaganbuilding.htm
24 Jul 2008,Speech to the People of Berlin,
28 Aug 2008,DNC Presidential Nomination Acceptance Speech,
01 Oct 2008,Senate Speech on Wall Street Bailout Bill,speeches/barackobama/barackobamasenatespeechonbailoutbill.htm
04 Nov 2008,President-Elect Victory Speech,
07 Nov 2008,First President-Elect Press Conference,speeches/barackobama/barackobamafirstpressconference.htm
08 Nov 2008,1st President-Elect Weekly Transition Address,
15 Nov 2008,2nd President-Elect Weekly Transition Address,
18 Nov 2008,Global Climate Summit Prerecorded Speech,speeches/barackobama/barackobamaglobalclimatesummit.htm
21 Nov 2008,3rd President-Elect Weekly Transition Address,
24 Nov 2008,Economic Team Announcement Speech,speeches/barackobama/barackobamaeconomicteamannouncement.htm
25 Nov 2008,Management and Budget Office Announcement,speeches/barackobama/barackobamamanagementandbudgetoffice.htm
26 Nov 2008,Economic Recovery Advisory Board Announcement,speeches/barackobama/barackobamaeconomicrecoveryadvisoryboard.htm
27 Nov 2008,4th President-Elect Weekly Transition Address,
01 Dec 2008,Security Team Announcement Speech,speeches/barackobama/barackobamasecurityteamannouncement.htm
03 Dec 2008,Commerce Secretary Announcement,speeches/barackobama/barackobamasecretarycommerce.htm
06 Dec 2008,5th President-Elect Weekly Transition Address,
13 Dec 2008,6th President-Elect Weekly Transition Address,
20 Dec 2008,7th President-Elect Weekly Transition Address,
24 Dec 2008,8th President-Elect Weekly Transition Address,
03 Jan 2009,9th President-Elect Weekly Transition Address,
05 Jan 2009,Remarks After Meeting with Economic Team,speeches/barackobama/barackobamapresseconomicrecoverypressconference.htm
08 Jan 2009,George Mason University Speech,speeches/barackobama/barackobamageorgemason.htm
